id,name,description,price,duration_in_days
2141,Jaxspan 2141,User-centric executive hardware,394.26,45
2142,Zooxo 2142,Enterprise-wide discrete monitoring,863.25,4
2143,Topicware 2143,Reactive logistical intranet,956.83,83
2144,Bubblebox 2144,Virtual empowering orchestration,193.33,84
2145,Divape 2145,Vision-oriented heuristic conglomeration,237.9,70
2146,Yacero 2146,User-centric demand-driven task-force,225.87,21
2147,Wikizz 2147,User-friendly systematic parallelism,788.45,91
2148,Zoombox 2148,Total dedicated knowledge user,926.84,1
2149,Skyble 2149,Advanced heuristic middleware,717.15,39
2150,Flashspan 2150,Re-engineered directional collaboration,827.11,26
2151,Rhyloo 2151,Balanced fault-tolerant capacity,103.77,56
2152,Browsetype 2152,Enterprise-wide directional algorithm,415.56,42
2153,Linkbuzz 2153,Ergonomic radical artificial intelligence,650.47,91
2154,Linklinks 2154,Proactive analyzing secured line,422.67,31
2155,Avamba 2155,Customizable upward-trending encoding,257.58,7
2156,Jabbersphere 2156,Horizontal intangible software,110.68,22
2157,Cogidoo 2157,Cloned regional access,770.62,54
2158,Innojam 2158,Integrated didactic database,569.69,57
2159,Youbridge 2159,Fundamental zero defect software,561.93,39
2160,Skippad 2160,Triple-buffered 5th generation challenge,478.64,6
2161,Trupe 2161,Expanded composite utilisation,494.15,22
2162,Oba 2162,Customizable system-worthy matrices,533.82,26
2163,Tavu 2163,Profound 6th generation implementation,820.31,7
2164,Vinte 2164,Reduced intermediate protocol,696.38,65
2165,Youopia 2165,Persistent didactic contingency,265.42,99
2166,Plambee 2166,Face to face 24 hour emulation,600.28,44
2167,Chatterpoint 2167,Enhanced grid-enabled neural-net,348.25,96
2168,Topicware 2168,Assimilated value-added standardization,463.26,7
2169,Youopia 2169,Front-line even-keeled system engine,883.57,36
2170,Jabberstorm 2170,Profound asymmetric architecture,413.68,75
2171,Buzzdog 2171,Re-engineered scalable knowledge base,643.86,51
2172,Wikizz 2172,Enhanced upward-trending parallelism,688.79,7
2173,Blogtags 2173,Optional content-based knowledge user,872.47,36
2174,Tagfeed 2174,Operative multi-state function,417.51,25
2175,Bubblebox 2175,Up-sized tertiary circuit,375.82,93
2176,Miboo 2176,Optional fault-tolerant alliance,513.21,20
2177,Kamba 2177,Team-oriented impactful hub,937.43,79
2178,Gabspot 2178,De-engineered multi-tasking ability,856.54,35
2179,Wordify 2179,Right-sized well-modulated productivity,298.52,19
2180,Blogpad 2180,Synchronised impactful productivity,640.92,96
2181,Roodel 2181,De-engineered logistical knowledge base,982.16,19
2182,Gabspot 2182,Total 24/7 framework,218.57,80
2183,Fivespan 2183,Re-engineered optimizing encryption,128.65,49
2184,Rooxo 2184,Horizontal fresh-thinking policy,808.11,97
2185,Wordware 2185,Extended stable leverage,275.59,45
2186,Gigabox 2186,Fully-configurable optimizing website,101.38,18
2187,Youopia 2187,Stand-alone static algorithm,353.51,39
2188,Brainlounge 2188,Innovative scalable function,618.72,51
2189,Fatz 2189,Reverse-engineered 3rd generation open system,492.4,30
2190,Wordtune 2190,Versatile incremental neural-net,662.33,38
2191,Ailane 2191,Proactive methodical toolset,114.07,47
2192,Demimbu 2192,Optional encompassing definition,307.94,83
2193,Quaxo 2193,Expanded contextually-based internet solution,703.48,3
2194,Voonte 2194,Organized intermediate framework,946.8,24
2195,Edgewire 2195,Down-sized leading edge time-frame,843,71
2196,Voomm 2196,Expanded value-added interface,619.2,39
2197,Brainverse 2197,Extended attitude-oriented approach,461.47,62
2198,Tazzy 2198,Managed secondary core,472.05,34
2199,Buzzshare 2199,Synchronised bandwidth-monitored time-frame,163.18,34
2200,Centizu 2200,Fundamental demand-driven synergy,101.25,15
2201,Kazu 2201,Ergonomic 5th generation utilisation,320.12,73
2202,Kwideo 2202,Compatible full-range matrices,807.95,2
2203,Oyoba 2203,Centralized fresh-thinking open system,477.88,61
2204,Twitterwire 2204,Digitized zero defect collaboration,128.81,57
2205,Mybuzz 2205,Right-sized exuding structure,901.1,84
2206,Tagpad 2206,Enhanced optimizing knowledge base,693.15,66
2207,Tazz 2207,Face to face web-enabled forecast,101.58,94
2208,Abatz 2208,Secured even-keeled algorithm,629.99,19
2209,Voonder 2209,Persistent neutral moratorium,851.32,24
2210,Demimbu 2210,Ergonomic radical approach,753.91,93
2211,Twitterwire 2211,Monitored fresh-thinking intranet,354.25,96
2212,Tagpad 2212,Switchable regional software,877.49,12
2213,Kwilith 2213,Total eco-centric collaboration,594.48,8
2214,Twinte 2214,Vision-oriented stable throughput,865.36,26
2215,Meezzy 2215,Reverse-engineered well-modulated model,176.34,15
2216,Yozio 2216,Ergonomic bifurcated budgetary management,716.36,18
2217,Yodo 2217,Reduced demand-driven product,665.61,32
2218,Oyoloo 2218,Right-sized 24 hour neural-net,228.67,26
2219,Leexo 2219,De-engineered user-facing installation,864.2,5
2220,Skynoodle 2220,Diverse multimedia matrix,799.27,53
2221,Aimbo 2221,Seamless impactful capability,745.9,56
2222,Mita 2222,Ameliorated holistic synergy,682.89,43
2223,Tazz 2223,Centralized transitional toolset,815.44,25
2224,Demizz 2224,Up-sized executive collaboration,313.66,49
2225,Oozz 2225,Integrated local architecture,368.82,39
2226,Mita 2226,Centralized bifurcated success,465.49,71
2227,Plambee 2227,Fundamental real-time concept,313.76,12
2228,Trupe 2228,Horizontal stable system engine,241.52,82
2229,Voonix 2229,Innovative even-keeled paradigm,665.49,33
2230,Eamia 2230,Switchable cohesive productivity,573.44,44
2231,Lazzy 2231,Versatile client-driven open architecture,876.83,20
2232,Jabberbean 2232,Object-based needs-based website,737.23,70
2233,Zoomdog 2233,Profit-focused stable groupware,425.84,90
2234,Roodel 2234,Robust client-driven definition,111.28,63
2235,Zoombeat 2235,Secured motivating budgetary management,294.86,75
2236,Quinu 2236,Distributed 6th generation benchmark,235.32,56
2237,Camido 2237,Secured cohesive moderator,995.09,30
2238,Yakitri 2238,Expanded stable algorithm,132.71,41
2239,Demimbu 2239,Customer-focused web-enabled focus group,511.96,92
2240,Bluezoom 2240,Business-focused holistic contingency,208.56,45
2241,Twimbo 2241,Face to face user-facing instruction set,945.29,75
2242,Oyope 2242,Configurable optimal projection,565.29,13
2243,Thoughtbeat 2243,Digitized optimizing policy,963.95,15
2244,Avamba 2244,Stand-alone fresh-thinking time-frame,265.62,63
2245,Eimbee 2245,Sharable background info-mediaries,224.04,28
2246,Dabtype 2246,Innovative multi-tasking matrix,718.88,18
2247,Tambee 2247,Team-oriented methodical process improvement,214.23,64
2248,Vimbo 2248,Cloned solution-oriented moderator,255.93,64
2249,Eire 2249,Ameliorated 3rd generation data-warehouse,443.7,59
2250,Podcat 2250,Innovative solution-oriented conglomeration,113.87,14
2251,Avavee 2251,De-engineered disintermediate hub,263.35,66
2252,Voomm 2252,Reduced empowering local area network,739.2,86
2253,Wikibox 2253,De-engineered non-volatile archive,532.83,30
2254,Twitternation 2254,Ergonomic neutral knowledge base,233.86,80
2255,Talane 2255,Future-proofed homogeneous core,396.04,29
2256,Rhybox 2256,Profound upward-trending open system,867.31,3
2257,Vinder 2257,Optional fault-tolerant contingency,102.3,80
2258,Roodel 2258,Front-line human-resource pricing structure,105.14,71
2259,InnoZ 2259,Sharable client-driven model,705.2,85
2260,Kanoodle 2260,Organized optimizing process improvement,318.63,36
2261,Skinder 2261,Upgradable maximized instruction set,392.79,75
2262,Topiclounge 2262,Upgradable discrete Graphic Interface,265.07,31
2263,Jabbertype 2263,Multi-tiered 6th generation open system,184.1,48
2264,Rhynyx 2264,Horizontal impactful secured line,576.85,61
2265,Dazzlesphere 2265,Open-architected dynamic algorithm,446.76,58
2266,Oba 2266,Open-source heuristic algorithm,139.09,4
2267,Photospace 2267,Configurable empowering policy,708.53,15
2268,Skyble 2268,Self-enabling next generation initiative,379.96,73
2269,Demimbu 2269,Proactive composite productivity,281.2,16
2270,Feednation 2270,Grass-roots contextually-based function,900.73,31
2271,Centimia 2271,Profit-focused next generation structure,215.05,85
2272,Voonder 2272,Fundamental 6th generation middleware,606.47,48
2273,Quimba 2273,Compatible responsive circuit,937.66,15
2274,Quamba 2274,Secured grid-enabled support,801.74,100
2275,Cogidoo 2275,Ameliorated scalable projection,467.6,56
2276,Photobean 2276,Centralized fault-tolerant firmware,993.91,2
2277,Babbleopia 2277,Public-key solution-oriented product,707.81,99
2278,BlogXS 2278,Reactive system-worthy local area network,386.26,65
2279,Dabvine 2279,Cross-platform 24/7 utilisation,642.38,15
2280,Eamia 2280,Multi-tiered clear-thinking structure,394.23,39
2281,Lazzy 2281,Focused hybrid budgetary management,244.49,91
2282,Muxo 2282,Organized fault-tolerant open architecture,530.2,90
2283,Flashspan 2283,Business-focused methodical core,164.67,36
2284,Vidoo 2284,Multi-channelled mobile artificial intelligence,610.24,81
2285,Quatz 2285,Realigned tangible functionalities,364.2,35
2286,Yamia 2286,User-friendly analyzing solution,774.26,87
2287,Blognation 2287,Ameliorated tangible groupware,395.79,85
2288,Einti 2288,Cloned mobile groupware,983.02,22
2289,Zoomlounge 2289,Realigned coherent infrastructure,186.76,81
2290,Linktype 2290,Triple-buffered human-resource standardization,492.94,50
2291,Kanoodle 2291,Organic transitional frame,122.73,43
2292,Eimbee 2292,Fundamental logistical Graphical User Interface,306.66,82
2293,Midel 2293,Realigned 24 hour middleware,598.48,97
2294,Realpoint 2294,Organized high-level capacity,769.61,71
2295,Zoozzy 2295,Cross-platform cohesive policy,375.11,25
2296,Tagchat 2296,Cross-platform value-added matrices,436.77,73
2297,Vidoo 2297,Reverse-engineered discrete focus group,401.09,65
2298,Quinu 2298,Fully-configurable human-resource solution,522.69,86
2299,Ainyx 2299,Open-source optimizing focus group,443.91,95
2300,Thoughtmix 2300,Versatile impactful matrix,832.36,24
2301,Twimm 2301,Robust 24 hour focus group,925.12,19
2302,Pixonyx 2302,Re-engineered zero defect contingency,814.86,39
2303,Skipstorm 2303,Face to face human-resource synergy,584.23,38
2304,Skinte 2304,Profound system-worthy website,550.52,54
2305,Meemm 2305,Front-line bi-directional intranet,134.09,45
2306,Skibox 2306,Persistent bi-directional local area network,723.14,28
2307,Cogibox 2307,Intuitive client-server moratorium,565.39,43
2308,Oodoo 2308,Digitized 6th generation monitoring,966.8,44
2309,Dabjam 2309,Polarised explicit core,243.08,96
2310,Mita 2310,Sharable systemic toolset,336.09,3
2311,Aibox 2311,Universal directional challenge,637.72,10
2312,Oyonder 2312,Mandatory secondary alliance,816.67,42
2313,Bubblebox 2313,Pre-emptive multi-tasking approach,973.49,29
2314,Edgetag 2314,Implemented neutral info-mediaries,790.61,100
2315,Dynabox 2315,Total heuristic database,201.09,89
2316,Flashpoint 2316,Object-based stable orchestration,309.59,98
2317,Skidoo 2317,Optimized asymmetric intranet,809.04,51
2318,Livepath 2318,Open-source discrete Graphical User Interface,740.63,76
2319,Meevee 2319,Balanced neutral structure,983.17,97
2320,Edgeify 2320,Synchronised scalable open architecture,960.4,82
2321,Twitternation 2321,Exclusive zero tolerance function,199.16,53
2322,Blogspan 2322,Multi-layered client-driven encoding,587.91,36
2323,Topiczoom 2323,Implemented object-oriented array,996.74,14
2324,Jetwire 2324,Assimilated holistic algorithm,809.62,20
2325,Innojam 2325,Configurable global standardization,149.37,45
2326,Brightdog 2326,Visionary even-keeled circuit,621.47,80
2327,Yakidoo 2327,Configurable 5th generation workforce,523.03,76
2328,Myworks 2328,Optimized local extranet,299.82,47
2329,Plambee 2329,Robust zero defect complexity,162.63,32
2330,Babbleset 2330,Multi-lateral homogeneous initiative,443.64,99
2331,Vidoo 2331,Customer-focused tertiary success,783.22,69
2332,Zoombeat 2332,Cross-platform discrete model,842.96,62
2333,Jamia 2333,Digitized tangible analyzer,614.42,74
2334,Rhyzio 2334,Focused mobile algorithm,227.39,97
2335,Thoughtsphere 2335,Expanded zero tolerance support,666.79,14
2336,Shuffledrive 2336,Versatile regional groupware,956.09,82
2337,Youfeed 2337,Face to face multimedia moratorium,844.62,19
2338,Linktype 2338,Reduced mission-critical pricing structure,809.85,64
2339,Zoomcast 2339,Streamlined client-driven projection,879.53,52
2340,Quinu 2340,Upgradable web-enabled matrices,652.7,18
2341,Realpoint 2341,Organic systemic knowledge user,220.38,84
2342,Skiba 2342,De-engineered 6th generation initiative,643.79,70
2343,Gabcube 2343,Triple-buffered global model,793.62,55
2344,Centidel 2344,Open-source background complexity,254.08,15
2345,Skyvu 2345,User-centric methodical knowledge base,124.6,96
2346,Babbleblab 2346,Sharable actuating benchmark,935.49,32
2347,Tavu 2347,Ameliorated context-sensitive challenge,348.23,20
2348,Midel 2348,Profound zero tolerance solution,514.07,80
2349,Babbleopia 2349,Cross-group system-worthy project,191.41,79
2350,Snaptags 2350,Function-based high-level adapter,789,75
2351,Tazzy 2351,Mandatory interactive budgetary management,270.75,62
2352,Browsetype 2352,Triple-buffered background pricing structure,677.48,20
2353,Izio 2353,Ergonomic systematic paradigm,995.05,1
2354,Innotype 2354,Balanced exuding policy,900.57,38
2355,Mydeo 2355,Persevering transitional policy,259.58,40
2356,Shuffletag 2356,Inverse zero administration support,575.59,91
2357,Bubblebox 2357,Up-sized foreground migration,524.43,30
2358,Avamm 2358,Multi-lateral cohesive interface,505.45,10
2359,Youtags 2359,Decentralized holistic success,528.8,81
2360,Agivu 2360,Reduced bifurcated moratorium,536.02,50
2361,Devpulse 2361,Multi-layered intangible website,838.61,20
2362,Linkbridge 2362,Realigned solution-oriented infrastructure,836.91,57
2363,Oyope 2363,Secured 4th generation analyzer,446.32,88
2364,Gabtune 2364,Reverse-engineered encompassing info-mediaries,241.52,87
2365,Plambee 2365,Customer-focused demand-driven analyzer,848.41,5
2366,Buzzster 2366,Mandatory value-added protocol,786.57,28
2367,Jaxbean 2367,Ergonomic client-driven definition,728.37,67
2368,Plambee 2368,Synchronised disintermediate forecast,342.23,90
2369,Flipopia 2369,Persistent background leverage,531.24,59
2370,Jabberbean 2370,Sharable empowering function,728.04,85
2371,Topicshots 2371,Face to face multi-state workforce,477.99,53
2372,Topicshots 2372,Cross-group transitional capability,437.51,96
2373,Quimm 2373,Sharable national product,355.51,1
2374,Photobean 2374,Ergonomic motivating matrix,148.26,44
2375,Brightdog 2375,Decentralized bi-directional instruction set,269.37,82
2376,Trupe 2376,Virtual discrete function,567.17,16
2377,Dynabox 2377,Switchable fresh-thinking encryption,124.6,37
2378,Livetube 2378,Distributed incremental capability,313.7,32
2379,Trilia 2379,Exclusive explicit approach,979.23,87
2380,Oyonder 2380,Automated scalable protocol,533.14,45
2381,Trupe 2381,Open-source web-enabled time-frame,877.62,39
2382,JumpXS 2382,Extended modular internet solution,193.94,53
2383,Skyvu 2383,Open-source intangible workforce,122.97,80
2384,Realfire 2384,Multi-layered neutral model,238.32,21
2385,Plajo 2385,Digitized zero administration contingency,257.56,43
2386,Browsezoom 2386,Universal discrete throughput,368.3,24
2387,Skilith 2387,Optimized 24 hour policy,761.9,48
2388,Tagchat 2388,Phased executive toolset,936.04,77
2389,Cogilith 2389,Fully-configurable 24/7 utilisation,807.03,88
2390,Photofeed 2390,Fundamental 24/7 flexibility,736.74,33
2391,Linkbuzz 2391,Cloned discrete leverage,270,46
2392,Yozio 2392,Customer-focused coherent functionalities,327.74,55
2393,Demizz 2393,Upgradable local policy,791.94,14
2394,Voonte 2394,Re-engineered asynchronous info-mediaries,267.81,69
2395,Zoomcast 2395,Grass-roots local open architecture,802.33,13
2396,Shufflebeat 2396,Team-oriented client-server capability,442.93,19
2397,Tagfeed 2397,Self-enabling exuding migration,936.3,59
2398,Geba 2398,Right-sized even-keeled encryption,310.98,18
2399,Tazz 2399,Open-source client-server open system,578.25,40
2400,Rhyloo 2400,Networked 6th generation synergy,568,70
2401,Oodoo 2401,Stand-alone even-keeled hardware,253.52,38
2402,Shufflebeat 2402,Profound cohesive matrices,485.36,15
2403,Skajo 2403,Operative reciprocal strategy,296.8,87
2404,Avaveo 2404,Cloned multimedia leverage,881.67,92
2405,Geba 2405,Team-oriented methodical definition,526.6,98
2406,Mynte 2406,Multi-lateral clear-thinking throughput,873.92,23
2407,Eamia 2407,User-friendly multi-tasking hierarchy,918,85
2408,Twinder 2408,Optional object-oriented migration,722.2,61
2409,Mydo 2409,Total client-server Graphical User Interface,283.76,64
2410,Lazzy 2410,Multi-channelled neutral array,840.42,54
2411,Fivebridge 2411,Extended explicit encoding,937.6,66
2412,Shufflebeat 2412,Public-key intermediate array,738.03,47
2413,Voolia 2413,Networked contextually-based protocol,910.81,8
2414,Skippad 2414,Future-proofed demand-driven throughput,705.85,12
2415,Livepath 2415,Exclusive national projection,763.65,97
2416,Trudoo 2416,Persistent optimizing emulation,959.45,52
2417,Fadeo 2417,Synergistic systemic methodology,297.6,83
2418,Skinte 2418,Distributed maximized service-desk,121.65,85
2419,Youspan 2419,Compatible responsive forecast,714.49,56
2420,Avamm 2420,Progressive modular methodology,104.37,67
2421,Fliptune 2421,Exclusive impactful Graphical User Interface,820.11,62
2422,Browsetype 2422,Decentralized mission-critical secured line,126.2,53
2423,Dabvine 2423,Open-source intangible definition,907.21,20
2424,Zoonoodle 2424,Diverse 24 hour complexity,734.6,29
2425,Digitube 2425,Organic multimedia knowledge user,886.31,24
2426,JumpXS 2426,Fully-configurable tangible support,548.8,52
2427,Kwilith 2427,Function-based client-server knowledge user,365.22,91
2428,InnoZ 2428,Enhanced asynchronous toolset,520.74,89
2429,Blognation 2429,Enterprise-wide encompassing methodology,691.26,53
2430,Zoonoodle 2430,Centralized explicit service-desk,399.17,69
2431,Topiclounge 2431,Configurable asymmetric migration,698.14,32
2432,Babblestorm 2432,User-centric fault-tolerant projection,795.86,4
2433,Realmix 2433,Operative neutral analyzer,261.04,46
2434,Youbridge 2434,Fully-configurable 6th generation knowledge base,786.67,73
2435,Jabbercube 2435,De-engineered holistic support,952.42,57
2436,Roodel 2436,Open-architected systemic synergy,467.43,89
2437,Trudeo 2437,Decentralized exuding pricing structure,565.52,39
2438,Pixonyx 2438,Intuitive transitional installation,193.16,74
2439,Kaymbo 2439,Optional web-enabled function,802.68,64
2440,Zoomzone 2440,Re-contextualized fresh-thinking flexibility,964.2,27
2441,Zoombox 2441,Horizontal client-driven pricing structure,110.61,46
2442,Innojam 2442,Sharable mobile forecast,558.94,45
2443,Geba 2443,Ameliorated interactive hardware,719.49,3
2444,Photofeed 2444,Sharable analyzing encryption,510.16,96
2445,Ailane 2445,Quality-focused content-based attitude,852.64,25
2446,Eare 2446,Visionary secondary hub,674.12,17
2447,Jetwire 2447,Optional eco-centric capability,364.57,17
2448,Eire 2448,Front-line multi-state parallelism,832.36,15
2449,Miboo 2449,Reverse-engineered content-based ability,258.34,67
2450,Fivechat 2450,Operative static archive,685.21,1
2451,Jaxbean 2451,Stand-alone executive matrices,916.66,7
2452,Wikizz 2452,Multi-channelled needs-based flexibility,329.12,53
2453,Devpoint 2453,Digitized neutral alliance,934.73,59
2454,Ozu 2454,Up-sized responsive internet solution,511.44,68
2455,Jabberbean 2455,Profit-focused hybrid concept,321.74,67
2456,Mynte 2456,Phased fresh-thinking circuit,268.9,57
2457,Meemm 2457,Focused responsive superstructure,455.37,69
2458,Jabbersphere 2458,Public-key tangible definition,604.93,86
2459,InnoZ 2459,Versatile solution-oriented hardware,291.72,35
2460,Jaxworks 2460,Total non-volatile flexibility,972.01,34
2461,Zoonoodle 2461,Extended 5th generation open architecture,181.21,99
2462,Gabvine 2462,Focused bandwidth-monitored leverage,779.23,2
2463,Wikivu 2463,Grass-roots 4th generation knowledge base,929.82,75
2464,JumpXS 2464,Realigned mission-critical extranet,300.08,74
2465,Twiyo 2465,Programmable context-sensitive info-mediaries,774.67,78
2466,Skippad 2466,Enhanced zero administration moderator,878.82,81
2467,Brainverse 2467,Re-engineered bandwidth-monitored policy,309.2,36
2468,Podcat 2468,Exclusive actuating protocol,309.47,49
2469,Muxo 2469,Enterprise-wide 4th generation data-warehouse,142.24,69
2470,Yodo 2470,Sharable intermediate software,285.08,34
2471,Flashpoint 2471,Sharable content-based attitude,619.89,79
2472,Thoughtstorm 2472,Cross-platform demand-driven service-desk,900.52,80
2473,Skipfire 2473,Optional mission-critical productivity,341.82,62
2474,Linkbuzz 2474,Visionary dedicated focus group,713.65,96
2475,Thoughtworks 2475,Sharable stable budgetary management,258.32,19
2476,Realbridge 2476,Proactive directional circuit,831.84,29
2477,Blognation 2477,Persistent responsive workforce,950.46,36
2478,Quatz 2478,Team-oriented radical portal,524.03,99
2479,Innojam 2479,Persevering composite interface,260.57,58
2480,Eazzy 2480,De-engineered mission-critical hardware,300.2,56
2481,Voolith 2481,Networked neutral complexity,501.66,97
2482,Ooba 2482,Profound heuristic attitude,178.42,4
2483,Jabbersphere 2483,Advanced secondary migration,968.69,85
2484,Divape 2484,Synergistic motivating contingency,280.34,71
2485,Edgepulse 2485,Cross-group 3rd generation workforce,415,58
2486,Rhycero 2486,Progressive scalable budgetary management,163.99,81
2487,Quimm 2487,Fully-configurable tangible conglomeration,218.07,12
2488,Wordpedia 2488,Horizontal motivating complexity,148.52,76
2489,Pixonyx 2489,Profound zero defect algorithm,863.45,50
2490,Agivu 2490,Self-enabling fresh-thinking internet solution,132.81,54
2491,Kwideo 2491,Automated zero administration throughput,588.58,7
2492,Quaxo 2492,Advanced leading edge model,308.27,34
2493,Lazzy 2493,Ergonomic solution-oriented parallelism,389.46,22
2494,Abatz 2494,Diverse discrete implementation,664.08,13
2495,Realmix 2495,Cloned needs-based concept,766.99,92
2496,Cogibox 2496,Mandatory multimedia software,721.22,48
2497,Devcast 2497,Polarised multimedia product,963.26,53
2498,Quinu 2498,User-centric dedicated pricing structure,960.95,23
2499,Talane 2499,Secured 4th generation complexity,414.72,12
2500,Oyope 2500,Versatile secondary collaboration,426.86,36
2501,Dabshots 2501,Enterprise-wide maximized local area network,143.74,54
2502,Livepath 2502,Fundamental user-facing structure,373.14,79
2503,Geba 2503,Assimilated maximized ability,683,94
2504,Gigaclub 2504,Inverse directional task-force,535.4,14
2505,Skyndu 2505,Configurable discrete intranet,276.86,88
2506,Quinu 2506,Right-sized responsive challenge,294.75,62
2507,Thoughtmix 2507,Synchronised multi-tasking archive,649.72,95
2508,Twimm 2508,Profound analyzing superstructure,769.4,77
2509,Browsetype 2509,Implemented context-sensitive encryption,839.42,90
2510,Brainverse 2510,Horizontal encompassing intranet,184.18,79
2511,Devpoint 2511,Operative transitional Graphical User Interface,111.37,86
2512,Quinu 2512,User-friendly object-oriented structure,191.95,88
2513,Jabbercube 2513,Innovative leading edge synergy,764.91,87
2514,Livetube 2514,Fundamental discrete firmware,896.41,36
2515,Youspan 2515,Profit-focused encompassing flexibility,758.35,73
2516,Dabjam 2516,Networked bottom-line framework,383.15,69
2517,Dabjam 2517,Triple-buffered regional capacity,306.28,50
2518,Photospace 2518,Innovative background moderator,366.54,72
2519,Brainsphere 2519,Universal bandwidth-monitored hardware,233.83,87
2520,Feedbug 2520,Persistent mobile function,437.58,19
2521,Leexo 2521,Multi-layered interactive time-frame,698.89,42
2522,Skyba 2522,Horizontal bi-directional neural-net,169.78,23
2523,Centimia 2523,Devolved uniform interface,216.81,75
2524,Twimm 2524,Inverse optimizing paradigm,341.32,32
2525,Ntags 2525,Customizable 24/7 architecture,875.63,54
2526,Quamba 2526,Multi-tiered interactive info-mediaries,990.07,9
2527,Oyoloo 2527,Fundamental transitional analyzer,554.53,30
2528,Shuffletag 2528,Multi-lateral foreground methodology,435.04,59
2529,Centidel 2529,Implemented national migration,359.16,4
2530,Ozu 2530,Fundamental discrete policy,823.98,21
2531,Shufflebeat 2531,Down-sized asynchronous moderator,176.95,70
2532,Fanoodle 2532,Networked solution-oriented help-desk,797.62,13
2533,Browsecat 2533,Vision-oriented radical methodology,585.69,71
2534,Topicshots 2534,Cross-platform coherent focus group,301.26,81
2535,Skivee 2535,Managed attitude-oriented functionalities,314.72,15
2536,Pixonyx 2536,Seamless local implementation,258.88,55
2537,Dynava 2537,Centralized clear-thinking algorithm,117.94,56
2538,Aibox 2538,Cross-group secondary monitoring,671.64,9
2539,Eazzy 2539,Distributed didactic middleware,528.54,30
2540,Midel 2540,Customer-focused intermediate customer loyalty,508.72,45
2541,Katz 2541,Balanced background framework,257.79,55
2542,Centimia 2542,Robust encompassing paradigm,839.65,75
2543,Skimia 2543,Pre-emptive 5th generation array,131.93,37
2544,Zoovu 2544,Robust user-facing hierarchy,101.44,61
2545,Rhybox 2545,Open-source dynamic attitude,455.94,57
2546,Gabtune 2546,Open-source tangible policy,143.39,74
2547,Eayo 2547,Right-sized empowering support,377.35,72
2548,Meembee 2548,Focused global product,560.24,43
2549,Muxo 2549,Reactive methodical matrices,391.77,57
2550,Mynte 2550,Networked user-facing analyzer,886.37,38
2551,Eamia 2551,Monitored global budgetary management,329.83,5
2552,Tagopia 2552,Expanded solution-oriented synergy,701.12,81
2553,Topiczoom 2553,Persistent 5th generation pricing structure,472.67,41
2554,Tazzy 2554,Function-based upward-trending matrices,581.45,84
2555,Dynabox 2555,Centralized tertiary emulation,910.19,98
2556,Oyoloo 2556,Cross-group 4th generation encryption,250.14,79
2557,Thoughtworks 2557,Multi-lateral 6th generation productivity,501.55,74
2558,Rhynyx 2558,Down-sized methodical standardization,893.09,90
2559,Centizu 2559,Cross-platform zero administration array,839.23,29
2560,Tagopia 2560,Profound human-resource definition,385.64,53
2561,Roomm 2561,Business-focused homogeneous portal,960.22,41
2562,Thoughtmix 2562,Ameliorated systemic interface,520.86,19
2563,Rhynoodle 2563,Self-enabling uniform open system,623.58,10
2564,Podcat 2564,Networked systemic info-mediaries,586.02,31
2565,Twitterwire 2565,Advanced uniform policy,575.16,38
2566,Photobean 2566,Intuitive content-based architecture,882.34,3
2567,Trupe 2567,Intuitive multimedia functionalities,274.43,95
2568,Jabbersphere 2568,Reduced contextually-based help-desk,294.87,46
2569,Feedmix 2569,Customer-focused transitional access,442.14,8
2570,Kare 2570,Cloned global forecast,791.83,34
2571,Zazio 2571,Face to face attitude-oriented hardware,713.83,25
2572,Flashdog 2572,Right-sized impactful software,372.89,65
2573,DabZ 2573,Reduced didactic pricing structure,771.28,46
2574,Vinder 2574,Proactive hybrid open system,504.7,51
2575,Avaveo 2575,Total system-worthy local area network,866.75,5
2576,Flipopia 2576,Progressive contextually-based contingency,107.78,61
2577,Vitz 2577,Pre-emptive attitude-oriented database,317.41,31
2578,Bubbletube 2578,Team-oriented real-time contingency,983.69,24
2579,Gigashots 2579,Multi-lateral fault-tolerant monitoring,495.51,6
2580,Tazz 2580,Business-focused real-time benchmark,476.57,14
2581,Rooxo 2581,Vision-oriented executive analyzer,393.58,64
2582,Voomm 2582,Public-key systemic open system,699.81,2
2583,Myworks 2583,Business-focused solution-oriented approach,924.76,42
2584,Zazio 2584,Team-oriented client-driven project,659.27,28
2585,Trudeo 2585,Business-focused directional hierarchy,986.61,83
2586,Buzzdog 2586,Profit-focused radical migration,530.61,66
2587,Brightbean 2587,Operative cohesive forecast,746.17,68
2588,Zoomlounge 2588,Switchable neutral circuit,432.46,51
2589,Latz 2589,Streamlined zero administration website,348.04,60
2590,Yodel 2590,Ergonomic neutral neural-net,879.69,44
2591,Photobug 2591,Automated directional time-frame,143.82,78
2592,Pixope 2592,Balanced system-worthy website,581.73,30
2593,Podcat 2593,Public-key national capacity,967.68,72
2594,Minyx 2594,Self-enabling coherent knowledge base,624.76,37
2595,Fatz 2595,Progressive reciprocal help-desk,810.38,87
2596,Oyonder 2596,Team-oriented interactive conglomeration,907.31,14
2597,Podcat 2597,Integrated asynchronous instruction set,326.53,4
2598,Feedfire 2598,Cloned web-enabled middleware,262.5,31
2599,Mydo 2599,Fundamental coherent success,586.67,21
2600,Centimia 2600,Automated bottom-line encoding,593.14,7
2601,Quinu 2601,Enhanced high-level interface,311.95,82
